objid,l,b,g,r,i,psfMagErr_g,psfMagErr_r,psfMagErr_i
1237662530601353703,357.685679524543,69.1122998377622,21.85798,21.14014,20.78026,0.06725654,0.05049846,0.0592925
1237662530601353705,358.012158934468,69.1911368322581,23.00919,22.22781,22.13878,0.1790481,0.1265547,0.1912286
1237662530601353707,357.752610012061,69.1259487029213,21.93837,21.36816,21.25632,0.07239417,0.06052133,0.08783841
1237662530601353708,357.854044714623,69.1503540159215,22.66183,21.70161,21.34281,0.1326415,0.07998902,0.09552175
1237662530601353718,357.819269194231,69.1378746732532,22.38092,22.05527,21.71302,0.1045461,0.106194,0.1303762
1237662530601354019,357.861686741083,69.2142888813967,23.69794,22.67593,22.40082,0.3135737,0.1796432,0.2403916
1237662530601353535,357.968251554361,69.2587608910225,22.18474,21.2246,20.85466,0.08948099,0.05551006,0.06511959
1237662530601353539,357.914035605082,69.2452119728348,23.19206,22.06225,21.284,0.2219198,0.1117148,0.0980719
1237662530601353346,358.006426384712,69.1890691297142,19.7623,19.75854,19.74945,0.02155344,0.02675307,0.03101596
1237662530601353354,358.007820873089,69.1806599646553,23.04141,21.87143,21.11463,0.1935956,0.09665002,0.08268485
1237662530601353545,357.903096295127,69.2386809215699,21.88231,21.38173,21.1795,0.07050122,0.06215315,0.0848341
1237662530601353276,357.936735094277,69.2334211837123,17.43499,16.4477,16.16756,0.01700846,0.02120721,0.01913821
1237662530601353282,358.061774526072,69.2493949134043,22.76724,22.36358,22.26218,0.1515431,0.1599001,0.2583345
1237662530601353286,357.966771127016,69.2173147288706,19.45115,19.04566,18.93658,0.02006288,0.02332724,0.02314345
1237662530601353290,358.071192213465,69.2280950214782,18.79229,18.48001,18.3929,0.01825382,0.02223248,0.02102477
1237662530601353293,357.915002204107,69.1846223709177,18.76665,18.14772,17.87926,0.01821784,0.02185461,0.02005853
1237662530601353485,358.029383944987,69.2108048028888,20.4504,20.08415,20.00039,0.0275955,0.02974219,0.03753563
1237662530601353488,357.909473964221,69.1817810745499,20.96141,20.58419,20.50677,0.03635379,0.03711256,0.04958703
1237662530601353565,357.637093581127,69.1583311927116,22.34938,22.09354,21.64864,0.1006767,0.1045209,0.1220862
1237662530601353568,357.616035793052,69.1518295014387,22.84709,22.75925,23.05086,0.1522269,0.1820795,0.3931371
1237662530601353569,357.851004773813,69.2102247845508,22.89422,22.95938,22.28945,0.1626993,0.2275131,0.2183661
1237662530601353571,357.78339992515,69.1925967765261,22.73904,22.36982,22.41648,0.1420482,0.1367315,0.2418356
1237662530601353603,358.019159610143,69.2357686549487,21.9175,21.62206,21.84212,0.07190383,0.07601056,0.1487398
1237662530601353608,357.994078118455,69.2283659491793,23.78976,22.85972,21.80091,0.3388391,0.2303629,0.1456696
1237662530601353609,357.991359725156,69.22761918213,23.41592,22.55061,22.38556,0.2525047,0.1657997,0.2400092
1237662530601353619,357.659694191378,69.1387086303537,23.92806,22.86179,22.5815,0.4027351,0.2096152,0.3603304
